Feedback,Product Feedback and Limitations validation_status,Product Feedback and Limitations comment,Product Feedback and Limitations_human_review,Product Feedback and Limitations_human_comment
"Feedback and limitations The customer struggles with the absence of calendar sharing in Microsoft Teams making it difficult to manage two Microsoft accounts for different companies Switching between calendars requires logging out and back in which is time-consuming and disrupts workflow This lack of a direct calendar sharing feature complicates schedule management and coordination significantly impacting productivity
Deployment blockers The customer expressed dissatisfaction with Microsoft Bookings due to persistent synchronization issues with Teams which hinder effective appointment management In contrast Google Calendar provided a smoother scheduling experience without these issues Additionally the customer found Power Automate inadequate for their needs citing its limitations in integrating with external applications They were however fully satisfied with Make a workflow automation platform which offered the flexibility and efficiency required by automating workflows across a wide range of external apps unlike Microsoft&#39;s more restricted ecosystem",1,"The feedback is specific, detailing the absence of calendar sharing in Microsoft Teams and its impact on workflow and productivity. The deployment blockers are also valid, highlighting technical barriers with Microsoft Bookings and Power Automate's limitations in integrating with external applications.",Agree,Clear and specific
"Feedback and limitations [The customer wishes to integrate Microsoft Designer into their business environment without needing a Copilot Pro license or personal accounts as Microsoft Designer is currently only available for personal use and with Microsoft Copilot Pro]
Deployment blockers [The customer wishes to integrate Microsoft Designer into their business environment without needing a Copilot Pro license or personal accounts as Microsoft Designer is currently only available for personal use and with Microsoft Copilot Pro]",1,"The feedback is specific as it clearly refers to the requirement of integrating Microsoft Designer without needing a Copilot Pro license or personal accounts. It supports the customer's business objective of integrating the tool into their business environment. The impact on customer experience is evident as the current limitation prevents the integration, which is a significant deployment blocker.",Agree,detailed and specific
"Feedback and limitations  The customer may have previously used the domain in a trial account but it&#39;s not removed by default by Microsoft with a policy due to inactivity As a result they are unable to use it in their new tenant
Deployment blockers",1,"The feedback is specific as it refers to the issue of domain usage in a new tenant due to previous trial account policies. It impacts the customer experience by preventing them from using their desired domain, which can hinder their workflow and satisfaction. This is a valid deployment blocker as it presents a technical barrier that needs to be addressed.",Agree,clear and specific
"Feedback and limitations Customer reported that they are unable to fully integrate a Microsoft 365 Business account with a PC running the Windows Home edition even though they are able to sign in and access Microsoft 365 apps such as Word Excel and Teams The customer believes that they should be able to fully add and manage the Microsoft 365 Business account on their Windows Home PC similar to what is possible on Windows Pro or Enterprise versions
Deployment blockers",1,"The feedback is specific, mentioning the inability to fully integrate a Microsoft 365 Business account with a PC running Windows Home edition. It supports customer objectives by highlighting the need for full account management capabilities, which impacts customer workflows and satisfaction. This is a valid deployment blocker related to compatibility.",Agree,Product feedback is valid. The customer is concerned about their inability to fully integrate a Microsoft 365 Business account with a PC running Windows Home edition.
"Feedback and limitations Feedback and limitation is that it is not possible to merge a new call with an existing call with Teams web app sometimes we need to join other members of the team to give an opinion about appointments or patients status We would like this feature to be available in Teams We App not only in Desktop App

Deployment blockers ",1,"The feedback is specific about the inability to merge calls in the Teams web app, which impacts the workflow of joining team members for discussions. This aligns with the objective of improving customer experience and supports the business case for better collaboration tools.",Agree,"The feedback is specific about the inability to merge calls in the Teams web app, which impacts the workflow of joining team members for discussions. "
"Feedback and limitations
Deployment blockers About Microsoft Teams Polls the feature is inconsistent Despite enabling external user interaction in Teams admin center some guests can&#39;t fill the polls Customer requests the product team address this issue as tech support hasn&#39;t resolved it",1,"The feedback is specific as it refers to the inconsistency of the Microsoft Teams Polls feature and its impact on external user interaction. It supports customer objectives by highlighting a technical barrier that prevents guests from participating in polls, which can affect customer workflows and satisfaction. The request for the product team to address the issue indicates a need for an actionable solution.",Agree,"It clearly refers to a specific product feature, aspect, or element"
"Feedback and limitations The user expressed dissatisfaction with the new Outlook noting that its functionality is less efficient compared to previous versions They highlighted that Outlook for Mac offers a better experience particularly with the unified inbox feature which allows multiple emails to appear in the same folder This feature is crucial for managing various email accounts seamlessly 
Deployment blockers Additionally the user mentioned that the new Outlook requires too many clicks to perform basic tasks leading to missed important emails The increased complexity and additional steps hinder productivity and make it challenging to stay on top of critical communications They hope these concerns can be addressed to enhance the overall user experience ",1,"The feedback is specific, highlighting the inefficiency of the new Outlook compared to previous versions and the importance of the unified inbox feature in Outlook for Mac. It supports customer objectives by emphasizing the need for seamless email management and the impact on productivity. The deployment blocker is valid as it details how the increased complexity and additional steps in the new Outlook hinder productivity and lead to missed important emails.",Agree,"It clearly refer to a specific product feature, aspect, or element"
"Feedback and limitations When a subscription is purchased through the Microsoft Customer Agreement (MCA) on the admin center any attempt to add to this subscription results in an error due to the system not allowing additions to the current payment cycle 
Deployment blockers",1,"The feedback is specific, detailing an issue with adding to a subscription purchased through the Microsoft Customer Agreement (MCA) on the admin center. It highlights a technical barrier that prevents additions to the current payment cycle, which impacts customer workflows and satisfaction.",Agree,Agree
"Feedback and limitations 
Title Enable Notification Informing New Customers About PAN
Why Customer highlighted the need for Microsoft to change the PAN (Permanent Account Number) request for Indian customers when setting up an account One customer noted that requiring a PAN for setting up a Microsoft 365 account in India is unnecessary especially for small businesses Banks typically issue PANs for businesses with high cash flow needs not for small purchases like a single Microsoft license Personal PANs should suffice for small businesses and Microsoft should inform users that personal PANs can be used (by creating a notification prompt when adding the payment method) The customer mentioned that if he hadn&#39;t been told by a support agent to use his personal PAN he wouldn&#39;t have known and might have switched to Google instead as obtaining a business PAN is challenging
Proposed Solution Enhance the product to include a prompt informing Indian customers that personal PANs can be used to set up an account This improvement will make the account setup process more straightforward and user-friendly
Deployment blockers Product blocker",1,"The feedback is specific, addressing the requirement of PAN for setting up a Microsoft 365 account in India and suggesting a notification prompt to inform users that personal PANs can be used. It supports customer business objectives by simplifying the account setup process for small businesses and impacts customer experience by potentially preventing customers from switching to competitors due to unnecessary complications.",Agree,"It clearly refer to a specific product feature, as"
"Feedback and limitations Customers are concerned about the 7-day retention period for sign-in logs under the standard business subscription emphasizing the importance of extended retention for security monitoring They suggest that a 30-day retention period should be standard across all license tiers to enhance security and user satisfaction
Deployment blockers",1,The feedback is specific about the 7-day retention period for sign-in logs and suggests a 30-day retention period to enhance security and user satisfaction. This aligns with customer business objectives related to security monitoring and impacts customer experience by potentially improving security measures.,Agree,
"Feedback and limitations Cx was frustrated since he didn&#39;t find any info in Microsoft documentation that&#39;s talking about if they will lose the data in the email server they have with their domain provider if they added the domain to their M365 tenant Also if all emails will be redirected to exchange online and nothing will be stored in their email server
Deployment blockers",1,"The feedback is valid as it specifies a limitation related to the documentation and its impact on the customer's experience. It highlights a specific concern about data loss and email redirection when adding a domain to their M365 tenant, which is crucial for deployment. This aligns with the criteria for Support and Documentation as a deployment blocker.",Agree,
"Feedback and limitations Customer a long-time Outlook user is dissatisfied with the new version of Outlook due to its lack of certain features and integrations available in the Classic version Specifically he relies heavily on the seamless integration between Outlook Classic and OneNote which allows him to send tasks or to-dos directly from OneNote Since this functionality is missing in the new version he continues to use the Classic version despite its outdated interface The customer suggests that Microsoft enhance the new Outlook by reintroducing these critical features and ensuring it offers significant improvements over the Classic version to justify the transition
Deployment blockers",1,"The feedback is specific, mentioning the lack of integration between the new version of Outlook and OneNote, which is a critical feature for the customer. It supports the objective by highlighting how this missing feature impacts the customer's workflow and satisfaction, leading to continued use of the Classic version. The feedback provides actionable insight by suggesting the reintroduction of these features in the new version.",Agree,
"Feedback and limitations Feedback and Limitations vs Product
Feedback Alex appreciates the integration of Microsoft 365 with their business processes and finds the security features robust and essential for their operations
Limitations Alex mentioned that more training resources for new employees would be beneficial to help them quickly get up to speed with Microsoft 365 features
Deployment blockers Deployment Blockers vs Product
Deployment Blockers
Complexity of Initial Setup Alex found the initial setup process for new PCs with Microsoft Business accounts to be somewhat complex and time-consuming
Device Management Ensuring all devices comply with company policies using Microsoft Intune required additional steps and understanding which could be streamlined",1,"The feedback and limitations provided are specific and actionable. They address particular features and aspects of Microsoft 365, such as the integration with business processes, security features, and the need for more training resources. The deployment blockers are also valid as they highlight specific technical barriers and complexity in the initial setup and device management processes.",Agree,
"Feedback and limitations The customer mentioned that managing multiple email aliases in Outlook is difficult as there is no seamless way to send emails from different aliases without manually changing settings each time
Deployment blockers",1,The feedback is specific as it refers to the difficulty in managing multiple email aliases in Outlook. It impacts the customer experience by causing inefficiency and frustration in their workflow. This insight is actionable for the product team to address.,Agree,It specifies an issue and how it impact customer workflow
"Feedback and limitations During the migration process we exported the PST file separately which caused the customer to be unable to use the Outlook (Classic) desktop app The customer expressed frustration over the large data files being exported stating that it should not hinder their ability to use the app They requested that Microsoft address this issue to allow Outlook to export multiple data files simultaneously
Deployment blockers",1,"The feedback is specific, detailing the issue with exporting PST files and its impact on the customer's ability to use the Outlook (Classic) desktop app. It also aligns with the customer's business objective of maintaining productivity during data migration and provides actionable insight by suggesting the ability to export multiple data files simultaneously.",Agree,"The feedback is specific, detailing the issue with exporting PST files and its impact on the customer's ability to use the Outlook (Classic) desktop app"
"Feedback and limitations The cx noted that Teams Web and Phone clients update randomly bypassing the regular schedule They highlighted that the update ring should wait for the device to be idle before silently installing the update but this doesn&#39;t happen causing Teams to stop working during use 
Deployment blockers ",1,"The feedback is specific, mentioning the issue with Teams Web and Phone clients updating randomly and bypassing the regular schedule. It supports the objective by highlighting how this impacts the customer's workflow, causing Teams to stop working during use. This directly affects customer experience and satisfaction.",Agree,"It supports the objective by highlighting how this impacts the customer's workflow, causing Teams to stop working during use. "
"Feedback and limitations New Outlook

The customer has reported issues with the new Outlook specifically regarding the application of policies for setting the default font format Unlike the classic Outlook these policies are not being automatically applied in the new version requiring manual adjustments This inconsistency has caused inconvenience and disrupted the user&#39;s workflow The customer emphasized the importance of maintaining uniformity in email formatting to ensure professional communication and adherence to company standards Additionally he noted that manual adjustments are time-consuming and detract from overall productivity The customer seeks a resolution to ensure that font format policies are consistently applied across both versions of Outlook Deployment blockers",1,"The feedback is valid as it specifies a particular issue with the new Outlook regarding the application of policies for setting the default font format. It highlights the impact on the customer's workflow and productivity, emphasizing the importance of maintaining uniformity in email formatting for professional communication and adherence to company standards. This insight is actionable and provides value to the product team.",Agree,Valid feedback about new outlook
